acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.34,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.49,ilp,0.1,475,26_usa,0.02,16,100,100,0.014889815366289002,123,8,8
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.38,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,9,9
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.37,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,10,10
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.36,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,11,11
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.37,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,12,12
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.35000000000000003,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,13,13
12,0.27906976744186,0.27906976744186,0,165,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.27,ilp,0.1,475,26_usa,0.0,16,43,43,1.0,123,2,2
28,0.31460674157303303,0.31460674157303303,0,233,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.36,ilp,0.1,475,26_usa,0.0,16,89,89,1.0,123,3,3
2,0.02,0.02,0,264,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,100,0.49504950495049505,123,4,4
1,0.01,0.01,0,292,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.52,ilp,0.1,475,26_usa,0.02,16,100,100,0.20491803278688503,123,5,5
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.38,ilp,0.1,475,26_usa,0.01,16,100,100,0.08326394671107401,123,6,6
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.34,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.37,ilp,0.1,475,26_usa,0.01,16,100,100,0.014889815366289002,123,8,8
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.34,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,9,9
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.48,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,10,10
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.35000000000000003,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,11,11
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.38,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,12,12
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.35000000000000003,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,13,13
